class,mAP50
bench,0.654
bicycle,0.5909
bus,0.8914
bus_stop,0.7912
car,0.6368
crutch,0.5521
curb,0.3199
dog,0.5392
fire_hydrant,0.7803
motorcycle,0.615
person,0.2448
pole,0.3223
spherical_roadblock,0.9331
stairs,0.5999
stop_sign,0.8895
street_light,0.3098
traffic_light,0.3045
train,0.7479
tree,0.1991
truck,0.6104
warning_column,0.731
waste_container,0.9056
