class,mAP50
bench,0.5444
bicycle,0.5445
bus,0.8199
bus_stop,0.8013
car,0.5977
crutch,0.527
curb,0.3539
dog,0.5379
fire_hydrant,0.7719
motorcycle,0.5729
person,0.2611
pole,0.3269
spherical_roadblock,0.927
stairs,0.5851
stop_sign,0.878
street_light,0.2104
traffic_light,0.311
train,0.6752
tree,0.1751
truck,0.5509
warning_column,0.6374
waste_container,0.8991
