class,mAP50
bench,0.5963
bicycle,0.6092
bus,0.8691
bus_stop,0.8299
car,0.6366
crutch,0.4907
curb,0.3837
dog,0.6131
fire_hydrant,0.7715
motorcycle,0.602
person,0.3038
pole,0.2463
spherical_roadblock,0.9468
stairs,0.5456
stop_sign,0.8691
street_light,0.2564
traffic_light,0.3431
train,0.7927
tree,0.1852
truck,0.5176
warning_column,0.7068
waste_container,0.8985
