class,mAP50
bench,0.5976
bicycle,0.6518
bus,0.9193
bus_stop,0.7662
car,0.6507
crutch,0.5633
curb,0.3656
dog,0.5905
fire_hydrant,0.7963
motorcycle,0.6192
person,0.3103
pole,0.3303
spherical_roadblock,0.9435
stairs,0.5829
stop_sign,0.8816
street_light,0.3115
traffic_light,0.3381
train,0.7072
tree,0.1991
truck,0.6136
warning_column,0.7004
waste_container,0.9082
