class,mAP50
bench,0.5869
bicycle,0.5772
bus,0.9048
bus_stop,0.8112
car,0.6215
crutch,0.7325
curb,0.342
dog,0.635
fire_hydrant,0.7817
motorcycle,0.5881
person,0.2899
pole,0.3089
spherical_roadblock,0.9214
stairs,0.5514
stop_sign,0.8864
street_light,0.2561
traffic_light,0.3199
train,0.7354
tree,0.2185
truck,0.5384
warning_column,0.7248
waste_container,0.8956
