model,mAP@0.5,mAP@0.5:0.95,speed_ms/img,size_MB,params_M
yolov8n,0.5209,0.3668,11.49,6.5,3.2
yolov8s,0.6078,0.4416,16.24,22.6,11.2
yolov8m,0.6615,0.4929,33.25,52.1,25.9
yolov8l,0.6872,0.5188,48.65,87.8,43.7
yolov8x,0.6982,0.5295,83.39,136.9,68.2
