model,mAP@0.5,mAP@0.5:0.95,speed_ms
yolo12n.pt,0.5528,0.3985,15.79
yolo12s.pt,0.6334,0.4684,19.59
yolo12m.pt,0.6815,0.5149,34.46
yolo12l.pt,0.6925,0.527,48.49
yolo12x.pt,0.7051,0.5414,85.41
