model,mAP@0.5,mAP@0.5:0.95,speed_ms/img,size_MB,params_M
yolo11n,0.5453,0.3866,18.91,5.6,2.6
yolo11s,0.6257,0.4561,19.08,19.3,9.5
yolo11m,0.6748,0.5052,31.48,40.7,20.1
yolo11l,0.6888,0.5217,67.42,51.4,25.4
yolo11x,0.7047,0.5351,73.34,114.6,57.0
